detailsPageUrl,carat,date,dateSet,price,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex
./diamond-details/LD12475462,['0.70'],['Sep 27'],['Sep 30'],2200,"['$3,143']",['LD12475462'],LD12475462,['RD'],['Round'],['SI1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['59.6'],['Medium'],['1.01'],['Excellent'],['Excellent'],['60.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2205281602/still_230x230.jpg,https://bluenile.v360.in/11/imaged/gia-2205281602/1/,"[{'label': '5.78 x 5.82 x 3.46 mm', 'labelSmall': '5.78 x 5.82 x 3.46'}]",False,,0.45130286
./diamond-details/LD12485581,['0.50'],['Sep 30'],['Oct 1'],2200,"['$4,400']",['LD12485581'],LD12485581,['RD'],['Round'],['VVS1'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['63.2'],['Faint'],['1.01'],['Excellent'],['Excellent'],['57.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6325786141/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6325786141/1/,"[{'label': '5.06 x 5.02 x 3.18 mm', 'labelSmall': '5.06 x 5.02 x 3.18'}]",False,,0.2692295
./diamond-details/LD12866143,['0.71'],['Sep 27'],['Sep 30'],2200,"['$3,099']",['LD12866143'],LD12866143,['RD'],['Round'],['SI1'],['G'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.5'],['None'],['1.01'],['Excellent'],['Excellent'],['58.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1206495699/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1206495699/1/,"[{'label': '5.65 x 5.69 x 3.54 mm', 'labelSmall': '5.65 x 5.69 x 3.54'}]",False,,0.40583104
./diamond-details/LD12906071,['0.62'],['Sep 27'],['Sep 30'],2200,"['$3,548']",['LD12906071'],LD12906071,['RD'],['Round'],['VS1'],['G'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['59.8'],['None'],['1.01'],['Excellent'],['Excellent'],['59.0'],[False],,,"[{'label': '5.54 x 5.57 x 3.32 mm', 'labelSmall': '5.54 x 5.57 x 3.32'}]",False,,0.24196838
./diamond-details/LD07367187,['0.70'],['Sep 27'],['Sep 30'],2201,"['$3,144']",['LD07367187'],LD07367187,['RD'],['Round'],['SI1'],['G'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['61.5'],['None'],['1.00'],['Very Good'],['Excellent'],['59.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3235315085/still_230x230.jpg,https://bluenile.v360.in/12/imaged/gia-3235315085/1/,"[{'label': '5.73 x 5.71 x 3.52 mm', 'labelSmall': '5.73 x 5.71 x 3.52'}]",False,,0.35728157
./diamond-details/LD09308581,['0.70'],['Sep 27'],['Sep 30'],2201,"['$3,144']",['LD09308581'],LD09308581,['RD'],['Round'],['SI1'],['G'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['63.1'],['None'],['1.01'],['Excellent'],['Very Good'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6275990276/still_230x230.jpg,https://bluenile.v360.in/12/imaged/gia-6275990276/1/,"[{'label': '5.67 x 5.64 x 3.57 mm', 'labelSmall': '5.67 x 5.64 x 3.57'}]",False,,0.3082754
./diamond-details/LD09924628,['0.61'],['Sep 27'],['Sep 30'],2201,"['$3,608']",['LD09924628'],LD09924628,['RD'],['Round'],['VVS1'],['H'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.8'],['None'],['1.00'],['Excellent'],['Very Good'],['57.0'],[False],,,"[{'label': '5.37 x 5.39 x 3.38 mm', 'labelSmall': '5.37 x 5.39 x 3.38'}]",False,,0.21471734
./diamond-details/LD11688885,['0.64'],['Sep 24'],['Sep 25'],2201,"['$3,439']",['LD11688885'],LD11688885,['RD'],['Round'],['VS2'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['61.7'],['Medium Blue'],['1.01'],['Excellent'],['Excellent'],['60.0'],[False],,,"[{'label': '5.53 x 5.57 x 3.42 mm', 'labelSmall': '5.53 x 5.57 x 3.42'}]",False,,0.5473893
./diamond-details/LD12138708,['0.58'],['Sep 30'],['Oct 1'],2201,"['$3,795']",['LD12138708'],LD12138708,['RD'],['Round'],['VVS2'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.6'],['Faint'],['1.01'],['Excellent'],['Excellent'],['58.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1325457010/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1325457010/1/,"[{'label': '5.33 x 5.30 x 3.33 mm', 'labelSmall': '5.33 x 5.30 x 3.33'}]",False,,0.3503191
./diamond-details/LD12155748,['0.53'],['Sep 30'],['Oct 1'],2201,"['$4,153']",['LD12155748'],LD12155748,['RD'],['Round'],['VVS1'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.6'],['Medium'],['1.00'],['Excellent'],['Excellent'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1303548064/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1303548064/1/,"[{'label': '5.20 x 5.18 x 3.25 mm', 'labelSmall': '5.20 x 5.18 x 3.25'}]",False,,0.26801744
